주소,건물명,건축년도,면적,층,계약월,건물용도,월별평균 매매가,매매지수,월별평균 전세가,전세지수,2년매매가 평균,구,상세주소,기존 전세가,전세가율
마포구 현석동 225-0,래미안웰스트림,2016,60,2층 초과,2023-07-01,아파트,146000.0,93.358,59999.99999999999,86.975,142315.10638132723,마포구,현석동 225-0,57293.55,40.25823502284037
마포구 현석동 225-0,래미안웰스트림,2016,85,2층 초과,2023-07-01,아파트,178000.0,93.358,25000.0,86.975,184320.52994932712,마포구,현석동 225-0,56204.63749999998,30.492879721782266
중구 신당동 850-0,신당푸르지오,2005,84,2층 초과,2023-07-01,아파트,110100.0,89.391,58000.0,84.522,124795.41732524738,중구,신당동 850-0,66832.49054262324,53.55364161204849
구로구 구로동 43-1,신도림 로제리움,2012,20,2층 초과,2023-07-01,아파트,11166.666666666666,92.83,11000.0,84.451,11663.976459867057,구로구,구로동 43-1,11000.0,94.30746056328525
동대문구 답십리동 530-17,한성아펠시티,2019,30,2층 초과,2023-07-01,오피스텔,26000.000000000004,89.772,25250.000000000004,86.164,27276.864493852467,동대문구,답십리동 530-17,22500.0,82.48748680432439
강북구 우이동 1-0,성원상떼빌,1990,85,2층 초과,2023-07-01,아파트,51000.0,86.831,31000.0,81.235,48548.20584766578,강북구,우이동 1-0,31000.0,63.85405898885653
영등포구 문래동6가 58-0,e편한세상 문래 에듀플라츠,2020,60,2층 초과,2023-07-01,아파트,96850.0,92.435,57000.00000000001,85.883,,영등포구,문래동6가 58-0,,
동작구 상도동 521-0,포스코더샵,2007,60,2층 초과,2023-07-01,아파트,100500.0,96.056,53500.0,83.141,111259.8059851431,동작구,상도동 521-0,57900.00000000001,52.04035679132102
강남구 개포동 12-0,성원대치2단지아파트,1992,33,2층 초과,2023-07-01,아파트,99000.0,100.163,28942.5,83.31,104657.72714858198,강남구,개포동 12-0,26286.555555555555,25.1166887259425
강남구 개포동 12-0,성원대치2단지아파트,1992,50,2층 이하,2023-07-01,아파트,129000.0,100.163,42000.0,83.31,133224.08549309798,강남구,개포동 12-0,59999.99999999999,45.036901381551196
강남구 개포동 12-0,성원대치2단지아파트,1992,51,2층 초과,2023-07-01,아파트,132000.0,100.163,45500.0,83.31,136708.74223325576,강남구,개포동 12-0,49532.00310137527,36.23177442219647
송파구 석촌동 24-3,석촌호수효성해링턴타워,2015,16,2층 초과,2023-07-01,아파트,28200.000000000004,96.951,23000.000000000004,84.183,26610.968620409385,송파구,석촌동 24-3,24500.0,92.06729882507783
강서구 염창동 255-0,무학,1999,59,2층 초과,2023-07-01,아파트,75000.0,90.277,34000.0,81.465,80359.86030279212,강서구,염창동 255-0,32690.9415,40.680684830488865
양천구 신월동 1077-0,목동센트럴아이파크위브3단지,2020,85,2층 초과,2023-07-01,아파트,92000.0,94.465,60000.0,81.59,121768.01884420699,양천구,신월동 1077-0,69750.0,57.28105019860747
양천구 신월동 1077-0,목동센트럴아이파크위브3단지,2020,53,2층 초과,2023-07-01,아파트,69833.33333333333,94.465,39333.333333333336,81.59,79799.01940310442,양천구,신월동 1077-0,42280.056,52.98317738269748
마포구 망원동 513-0,상암마젤란21,2005,82,2층 초과,2023-07-01,아파트,85000.0,93.358,55000.00000000001,86.975,77621.3997648826,마포구,망원동 513-0,65535.94535223135,84.430254479746
성북구 장위동 173-114,래미안장위퍼스트하이,2020,60,2층 초과,2023-07-01,아파트,82666.66666666667,89.128,43870.0,81.036,92740.08753409986,성북구,장위동 173-114,41416.66666666666,44.65886087441749
성북구 장위동 173-114,래미안장위퍼스트하이,2020,85,2층 초과,2023-07-01,아파트,98000.0,89.128,52624.99999999999,81.036,107361.84515862133,성북구,장위동 173-114,51141.66666666666,47.634861892609614
송파구 마천동 607-0,송파파크데일2단지,2011,115,2층 초과,2023-07-01,아파트,122000.0,96.951,60500.0,84.183,148722.50017337548,송파구,마천동 607-0,60304.243873281535,40.54816440214558
강서구 화곡동 1145-0,우장산롯데캐슬,2003,85,2층 초과,2023-07-01,아파트,101800.0,90.277,50000.0,81.465,114443.26412973239,강서구,화곡동 1145-0,45750.0,39.9761404464469
영등포구 당산동3가 559-0,쌍용예가클래식,2010,88,2층 초과,2023-07-01,아파트,100000.0,92.435,60000.0,85.883,123105.47636345423,영등포구,당산동3가 559-0,75481.5,61.31449406616964
구로구 항동 238-0,하버라인4단지,2019,60,2층 초과,2023-07-01,아파트,60750.0,92.83,38000.0,84.451,69092.58100280793,구로구,항동 238-0,30179.7,43.680087734417526
강서구 마곡동 773-1,마곡역센트럴푸르지오시티,2016,23,2층 초과,2023-07-01,오피스텔,18100.0,90.277,16333.333333333334,81.465,18145.409290871958,강서구,마곡동 773-1,16716.714285714286,92.12641069564424
성동구 마장동 825-0,대성유니드,2004,85,2층 초과,2023-07-01,아파트,97500.0,94.874,51000.0,84.774,124561.1674945369,성동구,마장동 825-0,65000.0,52.18319746629769
동작구 사당동 1155-0,대성유니드,2009,85,2층 초과,2023-07-01,아파트,92000.0,96.056,52000.0,83.141,87774.16624756398,동작구,사당동 1155-0,64534.13862350149,73.52292978948407
